Model,MAE,RMSE,R2,MAPE,SMAPE
线性回归,7.802310891309765,13.699512529859929,0.8981067741793506,88.28521117100858,86.79885259033797
随机森林,5.718820143884892,11.302376989443893,0.9306454973069916,55.35299719182234,38.10968928238211
XGBoost,5.891224543342916,12.171208615302298,0.9195728838677256,51.700329004413895,38.00241211305746
随机森林 (调优后),5.688156040663877,11.262667575518254,0.9311319770452854,55.28768315516628,37.974809875023716
XGBoost (调优后),5.626513451423577,11.576217465099312,0.9272440631821736,50.00839629588773,36.77758352021286
